




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-12-09
Analyzed List:	cluster2.txt (Danio rerio)
Reference List:	backgroundlist_35562genes.txt (Danio rerio)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	backgroundlist_35562genes.txt - REFLIST (23232)	cluster2.txt (552)	cluster2.txt (expected)	cluster2.txt (over/under)	cluster2.txt (fold Enrichment)	cluster2.txt (raw P-value)	cluster2.txt (FDR)
negative regulation of cell-cell adhesion mediated by cadherin (GO:2000048)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of cell-cell adhesion mediated by cadherin (GO:2000047)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
negative regulation of double-strand break repair via homologous recombination (GO:2000042)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
carbohydrate transmembrane transport (GO:0034219)	12	0	.29	-	 < 0.01	1.00E00	1.00E00
regulation of planar cell polarity pathway involved in axis elongation (GO:2000040)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
protein hexamerization (GO:0034214)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
G protein-coupled serotonin receptor signaling pathway (GO:0098664)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
inorganic anion transmembrane transport (GO:0098661)	43	0	1.02	-	 < 0.01	6.27E-01	1.00E00
regulation of stem cell population maintenance (GO:2000036)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of pyruvate dehydrogenase activity (GO:1904184)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of pyruvate dehydrogenase activity (GO:1904183)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
regulation of pyruvate dehydrogenase activity (GO:1904182)	11	0	.26	-	 < 0.01	1.00E00	1.00E00
amyloid-beta formation (GO:0034205)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
glycolipid translocation (GO:0034203)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of immune effector process (GO:0002699)	21	0	.50	-	 < 0.01	1.00E00	1.00E00
negative regulation of immune effector process (GO:0002698)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
regulation of immune effector process (GO:0002697)	38	0	.90	-	 < 0.01	1.00E00	1.00E00
positive regulation of leukocyte activation (GO:0002696)	65	0	1.54	-	 < 0.01	4.09E-01	1.00E00
negative regulation of leukocyte activation (GO:0002695)	34	0	.81	-	 < 0.01	1.00E00	1.00E00
regulation of leukocyte activation (GO:0002694)	99	0	2.35	-	 < 0.01	1.78E-01	1.00E00
inorganic cation import across plasma membrane (GO:0098659)	77	0	1.83	-	 < 0.01	4.29E-01	1.00E00
positive regulation of cellular extravasation (GO:0002693)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of cellular extravasation (GO:0002691)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
anion transmembrane transport (GO:0098656)	116	0	2.76	-	 < 0.01	1.19E-01	1.00E00
positive regulation of leukocyte chemotaxis (GO:0002690)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell adhesion (GO:0045785)	29	0	.69	-	 < 0.01	1.00E00	1.00E00
mRNA pseudouridine synthesis (GO:1990481)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
heat acclimation (GO:0010286)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of leukocyte chemotaxis (GO:0002689)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of leukocyte chemotaxis (GO:0002688)	17	0	.40	-	 < 0.01	1.00E00	1.00E00
positive regulation of leukocyte migration (GO:0002687)	20	0	.48	-	 < 0.01	1.00E00	1.00E00
negative regulation of leukocyte migration (GO:0002686)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of leukocyte migration (GO:0002685)	46	0	1.09	-	 < 0.01	6.29E-01	1.00E00
negative regulation of immune system process (GO:0002683)	61	0	1.45	-	 < 0.01	4.07E-01	1.00E00
somatic recombination of T cell receptor gene segments (GO:0002681)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of ossification (GO:0045778)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of blood pressure (GO:0045777)	10	0	.24	-	 < 0.01	1.00E00	1.00E00
negative regulation of male gonad development (GO:2000019)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of blood pressure (GO:0045776)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of male gonad development (GO:2000018)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of determination of dorsal identity (GO:2000016)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of determination of dorsal identity (GO:2000015)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cofactor metabolic process (GO:0051193)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
tetrahydrofolate interconversion (GO:0035999)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
DNA synthesis involved in UV-damage excision repair (GO:1904161)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
detection of muscle stretch (GO:0035995)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
response to muscle stretch (GO:0035994)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of TOR signaling (GO:0032008)	14	0	.33	-	 < 0.01	1.00E00	1.00E00
negative regulation of TOR signaling (GO:0032007)	28	0	.67	-	 < 0.01	1.00E00	1.00E00
regulation of TOR signaling (GO:0032006)	50	0	1.19	-	 < 0.01	6.32E-01	1.00E00
respiratory burst involved in defense response (GO:0002679)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of chronic inflammatory response (GO:0002678)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of chronic inflammatory response (GO:0002676)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein localization to cell surface (GO:2000009)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
box H/ACA snoRNA 3'-end processing (GO:0000495)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
prosthetic group metabolic process (GO:0051189)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to cell surface (GO:2000008)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of angiogenesis (GO:0045766)	38	0	.90	-	 < 0.01	1.00E00	1.00E00
box C/D snoRNA 3'-end processing (GO:0000494)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
box H/ACA snoRNP assembly (GO:0000493)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
box C/D snoRNP assembly (GO:0000492)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
small nucleolar ribonucleoprotein complex assembly (GO:0000491)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
skin morphogenesis (GO:0043589)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
skin development (GO:0043588)	23	0	.55	-	 < 0.01	1.00E00	1.00E00
regulation of adenylate cyclase activity (GO:0045761)	11	0	.26	-	 < 0.01	1.00E00	1.00E00
axonemal central apparatus assembly (GO:1904158)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of action potential (GO:0045760)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
coenzyme transport (GO:0051182)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of DNA damage checkpoint (GO:2000001)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
cofactor transport (GO:0051181)	22	0	.52	-	 < 0.01	1.00E00	1.00E00
vitamin transport (GO:0051180)	17	0	.40	-	 < 0.01	1.00E00	1.00E00
tendon development (GO:0035989)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
chondrocyte proliferation (GO:0035988)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
endodermal cell differentiation (GO:0035987)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
response to selenium ion (GO:0010269)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
SCF complex assembly (GO:0010265)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
mitochondrion-endoplasmic reticulum membrane tethering (GO:1990456)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
meiotic sister chromatid cohesion (GO:0051177)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
maturation of 5S rRNA (GO:0000481)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000480)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of respiratory gaseous exchange (GO:0043576)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
import into nucleus (GO:0051170)	47	0	1.12	-	 < 0.01	6.29E-01	1.00E00
peroxisomal transport (GO:0043574)	14	0	.33	-	 < 0.01	1.00E00	1.00E00
protein deglycosylation involved in glycoprotein catabolic process (GO:0035977)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
maintenance of DNA repeat elements (GO:0043570)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
multicellular organism aging (GO:0010259)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
aggrephagy (GO:0035973)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
NADH dehydrogenase complex assembly (GO:0010257)	15	0	.36	-	 < 0.01	1.00E00	1.00E00
peptidyl-histidine dephosphorylation (GO:0035971)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
endonucleolytic cleavage involved in rRNA processing (GO:0000478)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
positive regulation of Notch signaling pathway (GO:0045747)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
positive regulation of G protein-coupled receptor signaling pathway (GO:0045745)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000472)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of fibroblast growth factor receptor signaling pathway (GO:0045743)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress (GO:1990440)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
hemoglobin metabolic process (GO:0020027)	12	0	.29	-	 < 0.01	1.00E00	1.00E00
maturation of LSU-rRNA (GO:0000470)	22	0	.52	-	 < 0.01	1.00E00	1.00E00
positive regulation of epidermal growth factor receptor signaling pathway (GO:0045742)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of insulin-like growth factor receptor signaling pathway (GO:0043569)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of insulin-like growth factor receptor signaling pathway (GO:0043567)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
cellular response to nitrogen levels (GO:0043562)	12	0	.29	-	 < 0.01	1.00E00	1.00E00
cardiolipin acyl-chain remodeling (GO:0035965)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
COPI-coated vesicle budding (GO:0035964)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
cleavage involved in rRNA processing (GO:0000469)	18	0	.43	-	 < 0.01	1.00E00	1.00E00
exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000467)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	16	0	.38	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA repair (GO:0045738)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
positive regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045737)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
negative regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045736)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	11	0	.26	-	 < 0.01	1.00E00	1.00E00
glucose 6-phosphate metabolic process (GO:0051156)	12	0	.29	-	 < 0.01	1.00E00	1.00E00
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	19	0	.45	-	 < 0.01	1.00E00	1.00E00
positive regulation of striated muscle cell differentiation (GO:0051155)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000461)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of striated muscle cell differentiation (GO:0051154)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein catabolic process (GO:0045732)	54	0	1.28	-	 < 0.01	6.39E-01	1.00E00
maturation of 5.8S rRNA (GO:0000460)	23	0	.55	-	 < 0.01	1.00E00	1.00E00
regulation of striated muscle cell differentiation (GO:0051153)	14	0	.33	-	 < 0.01	1.00E00	1.00E00
regulation of translational initiation in response to stress (GO:0043558)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
respiratory burst (GO:0045730)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of smooth muscle cell differentiation (GO:0051151)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of translation in response to stress (GO:0043555)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of smooth muscle cell differentiation (GO:0051150)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of phosphatidylinositol 3-kinase activity (GO:0043553)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of phosphatidylinositol 3-kinase activity (GO:0043552)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of phosphatidylinositol 3-kinase activity (GO:0043551)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of lipid kinase activity (GO:0043550)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
positive regulation of immunoglobulin production (GO:0002639)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of immunoglobulin production (GO:0002637)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of granuloma formation (GO:0002633)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
exonucleolytic trimming involved in rRNA processing (GO:0000459)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
miRNA transport (GO:1990428)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of granuloma formation (GO:0002631)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
mitotic recombination-dependent replication fork processing (GO:1990426)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
respiratory burst after phagocytosis (GO:0045728)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of muscle cell differentiation (GO:0051149)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
positive regulation of translation (GO:0045727)	28	0	.67	-	 < 0.01	1.00E00	1.00E00
enzyme-directed rRNA pseudouridine synthesis (GO:0000455)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of muscle cell differentiation (GO:0051148)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
wybutosine biosynthetic process (GO:0031591)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of muscle cell differentiation (GO:0051147)	16	0	.38	-	 < 0.01	1.00E00	1.00E00
wybutosine metabolic process (GO:0031590)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
enzyme-directed rRNA 2'-O-methylation (GO:0000453)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of cilium assembly (GO:0045724)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
smooth muscle cell differentiation (GO:0051145)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
rRNA 2'-O-methylation (GO:0000451)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of fatty acid biosynthetic process (GO:0045723)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of gluconeogenesis (GO:0045722)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of gluconeogenesis (GO:0045721)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
molybdopterin cofactor metabolic process (GO:0043545)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
mitochondrial mRNA surveillance (GO:0035946)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial ncRNA surveillance (GO:0035945)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
response to UV-C (GO:0010225)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
response to UV-B (GO:0010224)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000448)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
activation of phospholipase D activity (GO:0031584)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of glycogen biosynthetic process (GO:0045719)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
replication-born double-strand break repair via sister chromatid exchange (GO:1990414)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of fatty acid biosynthetic process (GO:0045717)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
hemidesmosome assembly (GO:0031581)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
membrane raft distribution (GO:0031580)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
chaperone-mediated protein complex assembly (GO:0051131)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
positive regulation of blood vessel endothelial cell migration (GO:0043536)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
negative regulation of convergent extension involved in gastrulation (GO:1904104)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of convergent extension involved in gastrulation (GO:1904103)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
maintenance of DNA methylation (GO:0010216)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
response to ionizing radiation (GO:0010212)	30	0	.71	-	 < 0.01	1.00E00	1.00E00
membrane raft organization (GO:0031579)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
ribosome localization (GO:0033750)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
spindle checkpoint (GO:0031577)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
intra-S DNA damage checkpoint (GO:0031573)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
G2 DNA damage checkpoint (GO:0031572)	12	0	.29	-	 < 0.01	1.00E00	1.00E00
embryonic brain development (GO:1990403)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
embryonic liver development (GO:1990402)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
negative regulation of actin nucleation (GO:0051126)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
synaptic growth at neuromuscular junction (GO:0051124)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II preinitiation complex assembly (GO:0051123)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
forebrain dorsal/ventral pattern formation (GO:0021798)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
forebrain anterior/posterior pattern specification (GO:0021797)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cerebral cortex cell migration (GO:0021795)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of neuron apoptotic process (GO:0043525)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of neuron apoptotic process (GO:0043524)	19	0	.45	-	 < 0.01	1.00E00	1.00E00
ammonium transmembrane transport (GO:0072488)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
regulation of neuron apoptotic process (GO:0043523)	29	0	.69	-	 < 0.01	1.00E00	1.00E00
RNA import into mitochondrion (GO:0035927)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to vascular endothelial growth factor stimulus (GO:0035924)	16	0	.38	-	 < 0.01	1.00E00	1.00E00
arginine catabolic process to proline (GO:0019493)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
mitophagy (GO:0000423)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
autophagy of mitochondrion (GO:0000422)	30	0	.71	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043518)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of smooth muscle tissue development (GO:1905899)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of response to endoplasmic reticulum stress (GO:1905898)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of response to endoplasmic reticulum stress (GO:1905897)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
branchiomotor neuron axon guidance (GO:0021785)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
preganglionic parasympathetic fiber development (GO:0021783)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
beta-alanine biosynthetic process (GO:0019483)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
beta-alanine metabolic process (GO:0019482)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
dorsal aorta morphogenesis (GO:0035912)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
renal water absorption (GO:0070295)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
renal sodium ion absorption (GO:0070294)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
renal absorption (GO:0070293)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
N-acylphosphatidylethanolamine metabolic process (GO:0070292)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
N-acylethanolamine metabolic process (GO:0070291)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of histone H3-K36 methylation (GO:0000416)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of histone H3-K36 methylation (GO:0000414)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
protein peptidyl-prolyl isomerization (GO:0000413)	23	0	.55	-	 < 0.01	1.00E00	1.00E00
positive regulation of brain-derived neurotrophic factor receptor signaling pathway (GO:0031550)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of JUN kinase activity (GO:0043508)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
DNA ligation involved in DNA repair (GO:0051103)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of DNA binding (GO:0051101)	13	0	.31	-	 < 0.01	1.00E00	1.00E00
negative regulation of binding (GO:0051100)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
mitochondrial DNA repair (GO:0043504)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
D-amino acid catabolic process (GO:0019478)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
aorta morphogenesis (GO:0035909)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
L-lysine catabolic process (GO:0019477)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
ventral aorta development (GO:0035908)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of muscle adaptation (GO:0043502)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
L-lysine catabolic process to acetyl-CoA (GO:0019474)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of oogenesis (GO:1905881)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of oogenesis (GO:1905880)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
response to immobilization stress (GO:0035902)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
axonemal dynein complex assembly (GO:0070286)	21	0	.50	-	 < 0.01	1.00E00	1.00E00
pigment cell development (GO:0070285)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
pronephric duct morphogenesis (GO:0039023)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
