




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-12-09
Analyzed List:	cluster5.txt (Danio rerio)
Reference List:	backgroundlist_35562genes.txt (Danio rerio)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	backgroundlist_35562genes.txt - REFLIST (23232)	cluster5.txt (452)	cluster5.txt (expected)	cluster5.txt (over/under)	cluster5.txt (fold Enrichment)	cluster5.txt (raw P-value)	cluster5.txt (FDR)
photoreceptor cell fate determination (GO:0043703)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
NAD catabolic process (GO:0019677)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
establishment of protein localization to vacuole (GO:0072666)	35	1	.68	+	1.47	5.01E-01	1.00E00
protein localization to vacuole (GO:0072665)	38	1	.74	+	1.35	5.29E-01	1.00E00
NAD metabolic process (GO:0019674)	12	0	.23	-	 < 0.01	1.00E00	1.00E00
establishment of protein localization to peroxisome (GO:0072663)	12	0	.23	-	 < 0.01	1.00E00	1.00E00
GDP-mannose metabolic process (GO:0019673)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
protein localization to peroxisome (GO:0072662)	12	0	.23	-	 < 0.01	1.00E00	1.00E00
response to oxygen levels (GO:0070482)	58	1	1.13	-	.89	1.00E00	1.00E00
positive regulation of catabolic process (GO:0009896)	87	1	1.69	-	.59	1.00E00	1.00E00
nuclear-transcribed mRNA catabolic process, non-stop decay (GO:0070481)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of protein kinase C signaling (GO:0090036)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
protein localization to plasma membrane (GO:0072659)	60	0	1.17	-	 < 0.01	6.32E-01	1.00E00
protein localization to membrane (GO:0072657)	173	1	3.37	-	.30	2.69E-01	1.00E00
establishment of protein localization to mitochondrion (GO:0072655)	35	0	.68	-	 < 0.01	1.00E00	1.00E00
posterior commissure morphogenesis (GO:0021961)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay (GO:0070478)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
rRNA (guanine-N7)-methylation (GO:0070476)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
rRNA base methylation (GO:0070475)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
tRNA-guanine transglycosylation (GO:0101030)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of neutrophil chemotaxis (GO:0090023)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
central nervous system projection neuron axonogenesis (GO:0021952)	17	1	.33	+	3.02	2.93E-01	1.00E00
anterior neural plate formation (GO:0090017)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of morphogenesis of a branching structure (GO:0060688)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
formation of radial glial scaffolds (GO:0021943)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
aerobic electron transport chain (GO:0019646)	12	0	.23	-	 < 0.01	1.00E00	1.00E00
positive regulation of cerebellar granule cell precursor proliferation (GO:0021940)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
prolactin secretion (GO:0070459)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
cellular response to nitrogen compound (GO:1901699)	125	1	2.43	-	.41	7.36E-01	1.00E00
response to nitrogen compound (GO:1901698)	233	3	4.53	-	.66	6.34E-01	1.00E00
primitive streak formation (GO:0090009)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
hypoblast development (GO:0090008)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
tight junction organization (GO:0120193)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
tight junction assembly (GO:0120192)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
cerebellar Purkinje cell-granule cell precursor cell signaling involved in regulation of granule cell precursor cell proliferation (GO:0021937)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cerebellar granule cell precursor proliferation (GO:0021936)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
hindbrain tangential cell migration (GO:0021934)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
organophosphate metabolic process (GO:0019637)	531	6	10.33	-	.58	2.03E-01	1.00E00
response to stimulus (GO:0050896)	4952	98	96.35	+	1.02	8.62E-01	1.00E00
hindbrain radial glia guided cell migration (GO:0021932)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
oocyte development (GO:0048599)	18	0	.35	-	 < 0.01	1.00E00	1.00E00
intestinal absorption (GO:0050892)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
extraembryonic membrane development (GO:1903867)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
multicellular organismal water homeostasis (GO:0050891)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
cognition (GO:0050890)	15	1	.29	+	3.43	2.65E-01	1.00E00
positive regulation of oxidative phosphorylation (GO:1903862)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
auxin catabolic process (GO:0009852)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
auxin metabolic process (GO:0009850)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
urate catabolic process (GO:0019628)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
urea metabolic process (GO:0019627)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
cell proliferation in hindbrain ventricular zone (GO:0021923)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
endocrine process (GO:0050886)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
short-chain fatty acid catabolic process (GO:0019626)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
neuromuscular process controlling balance (GO:0050885)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
developmental cell growth (GO:0048588)	45	2	.88	+	2.28	2.26E-01	1.00E00
musculoskeletal movement (GO:0050881)	33	0	.64	-	 < 0.01	1.00E00	1.00E00
nucleotide transmembrane transport (GO:1901679)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
iron coordination entity transport (GO:1901678)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
regulation of mitotic spindle assembly (GO:1901673)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
steroid hormone biosynthetic process (GO:0120178)	12	0	.23	-	 < 0.01	1.00E00	1.00E00
frontonasal suture morphogenesis (GO:0097095)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
craniofacial suture morphogenesis (GO:0097094)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
presynaptic membrane organization (GO:0097090)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
multicellular organismal movement (GO:0050879)	33	0	.64	-	 < 0.01	1.00E00	1.00E00
regulation of body fluid levels (GO:0050878)	71	0	1.38	-	 < 0.01	6.48E-01	1.00E00
nervous system process (GO:0050877)	464	6	9.03	-	.66	3.94E-01	1.00E00
catechol-containing compound catabolic process (GO:0019614)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
smoothened signaling pathway involved in ventral spinal cord patterning (GO:0021910)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
brown fat cell differentiation (GO:0050873)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular response to transforming growth factor beta stimulus (GO:1903846)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of B cell activation (GO:0050871)	44	0	.86	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular response to transforming growth factor beta stimulus (GO:1903845)	14	0	.27	-	 < 0.01	1.00E00	1.00E00
positive regulation of T cell activation (GO:0050870)	18	0	.35	-	 < 0.01	1.00E00	1.00E00
regulation of cellular response to transforming growth factor beta stimulus (GO:1903844)	19	1	.37	+	2.71	3.20E-01	1.00E00
abscission (GO:0009838)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
carboxylic acid catabolic process (GO:0046395)	125	0	2.43	-	 < 0.01	1.81E-01	1.00E00
carboxylic acid biosynthetic process (GO:0046394)	129	1	2.51	-	.40	5.24E-01	1.00E00
quinone biosynthetic process (GO:1901663)	13	0	.25	-	 < 0.01	1.00E00	1.00E00
5-phosphoribose 1-diphosphate metabolic process (GO:0046391)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
quinone metabolic process (GO:1901661)	13	0	.25	-	 < 0.01	1.00E00	1.00E00
ribose phosphate biosynthetic process (GO:0046390)	131	3	2.55	+	1.18	7.44E-01	1.00E00
vascular smooth muscle cell development (GO:0097084)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
calcium ion export (GO:1901660)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
hindbrain-spinal cord boundary formation (GO:0021906)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of B cell activation (GO:0050869)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
forebrain-midbrain boundary formation (GO:0021905)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of T cell activation (GO:0050868)	33	0	.64	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell activation (GO:0050867)	66	0	1.28	-	 < 0.01	6.40E-01	1.00E00
negative regulation of cell activation (GO:0050866)	34	0	.66	-	 < 0.01	1.00E00	1.00E00
physiological muscle hypertrophy (GO:0003298)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
commitment of neuronal cell to specific neuron type in forebrain (GO:0021902)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of cell activation (GO:0050865)	100	1	1.95	-	.51	1.00E00	1.00E00
post-embryonic animal organ development (GO:0048569)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
butyrate metabolic process (GO:0019605)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of B cell activation (GO:0050864)	46	0	.89	-	 < 0.01	1.00E00	1.00E00
regulation of T cell activation (GO:0050863)	47	1	.91	+	1.09	6.04E-01	1.00E00
positive regulation of T cell receptor signaling pathway (GO:0050862)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
atrial ventricular junction remodeling (GO:0003294)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of B cell receptor signaling pathway (GO:0050861)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to cold (GO:0070417)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
post-embryonic animal organ morphogenesis (GO:0048563)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
glycosyl compound biosynthetic process (GO:1901659)	24	1	.47	+	2.14	3.82E-01	1.00E00
signal transduction involved in cellular response to ammonium ion (GO:1903831)	41	0	.80	-	 < 0.01	1.00E00	1.00E00
glycosyl compound catabolic process (GO:1901658)	10	0	.19	-	 < 0.01	1.00E00	1.00E00
glycosyl compound metabolic process (GO:1901657)	62	1	1.21	-	.83	1.00E00	1.00E00
deoxyribose phosphate catabolic process (GO:0046386)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
magnesium ion transmembrane transport (GO:1903830)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
deoxyribose phosphate biosynthetic process (GO:0046385)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
unidimensional cell growth (GO:0009826)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
cellular response to ketone (GO:1901655)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
response to ketone (GO:1901654)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
cellular response to peptide (GO:1901653)	57	1	1.11	-	.90	1.00E00	1.00E00
response to peptide (GO:1901652)	71	1	1.38	-	.72	1.00E00	1.00E00
regulation of microtubule-based movement (GO:0060632)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of meiosis I (GO:0060631)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of B cell receptor signaling pathway (GO:0050859)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of antigen receptor-mediated signaling pathway (GO:0050858)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of antigen receptor-mediated signaling pathway (GO:0050857)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of T cell receptor signaling pathway (GO:0050856)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of B cell receptor signaling pathway (GO:0050855)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of antigen receptor-mediated signaling pathway (GO:0050854)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
B cell receptor signaling pathway (GO:0050853)	51	0	.99	-	 < 0.01	1.00E00	1.00E00
T cell receptor signaling pathway (GO:0050852)	40	0	.78	-	 < 0.01	1.00E00	1.00E00
arginine transmembrane transport (GO:1903826)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
antigen receptor-mediated signaling pathway (GO:0050851)	88	0	1.71	-	 < 0.01	4.19E-01	1.00E00
organic acid transmembrane transport (GO:1903825)	61	0	1.19	-	 < 0.01	6.33E-01	1.00E00
oxidation-dependent protein catabolic process (GO:0070407)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
extracellular polysaccharide metabolic process (GO:0046379)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
L-arabinose metabolic process (GO:0046373)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
response to thyroid hormone (GO:0097066)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
nucleoside transmembrane transport (GO:1901642)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
anterior head development (GO:0097065)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
ncRNA export from nucleus (GO:0097064)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of ER to Golgi vesicle-mediated transport (GO:0060628)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of vesicle-mediated transport (GO:0060627)	143	1	2.78	-	.36	5.32E-01	1.00E00
dendritic spine maintenance (GO:0097062)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
dendritic spine organization (GO:0097061)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
chemosensory behavior (GO:0007635)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
optokinetic behavior (GO:0007634)	18	0	.35	-	 < 0.01	1.00E00	1.00E00
regulation of chromosome condensation (GO:0060623)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
visual behavior (GO:0007632)	24	1	.47	+	2.14	3.82E-01	1.00E00
feeding behavior (GO:0007631)	13	0	.25	-	 < 0.01	1.00E00	1.00E00
regulation of calcium-mediated signaling (GO:0050848)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
positive regulation of voltage-gated potassium channel activity (GO:1903818)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of voltage-gated potassium channel activity (GO:1903817)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
response to steroid hormone (GO:0048545)	25	0	.49	-	 < 0.01	1.00E00	1.00E00
endocardial cushion formation (GO:0003272)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
GDP-L-fucose metabolic process (GO:0046368)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
monosaccharide catabolic process (GO:0046365)	14	0	.27	-	 < 0.01	1.00E00	1.00E00
monosaccharide biosynthetic process (GO:0046364)	15	0	.29	-	 < 0.01	1.00E00	1.00E00
L-kynurenine catabolic process (GO:0097053)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
locomotory behavior (GO:0007626)	85	2	1.65	+	1.21	6.83E-01	1.00E00
L-kynurenine metabolic process (GO:0097052)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
ultradian rhythm (GO:0007624)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
circadian rhythm (GO:0007623)	55	0	1.07	-	 < 0.01	6.29E-01	1.00E00
rhythmic behavior (GO:0007622)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
adipose tissue development (GO:0060612)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of secondary heart field cardioblast proliferation (GO:0003266)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
defense response to fungus (GO:0050832)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of cardioblast proliferation (GO:0003264)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
endocardial progenitor cell migration to the midline involved in heart field formation (GO:0003262)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
cardiac muscle progenitor cell migration to the midline involved in heart field formation (GO:0003261)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
glycine import across plasma membrane (GO:1903804)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cardioblast migration (GO:0003260)	12	0	.23	-	 < 0.01	1.00E00	1.00E00
butyrate catabolic process (GO:0046359)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of postsynaptic membrane organization (GO:1901628)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of postsynaptic membrane organization (GO:1901626)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
hemolysis in other organism (GO:0044179)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
disaccharide biosynthetic process (GO:0046351)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
courtship behavior (GO:0007619)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning (GO:1901621)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
mating (GO:0007618)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning (GO:1901620)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
mating behavior (GO:0007617)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
long-term memory (GO:0007616)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
tube closure (GO:0060606)	14	0	.27	-	 < 0.01	1.00E00	1.00E00
short-term memory (GO:0007614)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
memory (GO:0007613)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
learning or memory (GO:0007611)	14	1	.27	+	3.67	2.51E-01	1.00E00
behavior (GO:0007610)	178	6	3.46	+	1.73	1.70E-01	1.00E00
defense response to Gram-negative bacterium (GO:0050829)	12	0	.23	-	 < 0.01	1.00E00	1.00E00
regulation of transcription from RNA polymerase II promoter in response to iron (GO:0034395)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
protein localization to cell surface (GO:0034394)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
protein stabilization (GO:0050821)	13	0	.25	-	 < 0.01	1.00E00	1.00E00
positive regulation of coagulation (GO:0050820)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of viral process (GO:0048524)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cell proliferation involved in heart valve morphogenesis (GO:0003250)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
amino sugar biosynthetic process (GO:0046349)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
amino sugar catabolic process (GO:0046348)	11	0	.21	-	 < 0.01	1.00E00	1.00E00
negative regulation of behavior (GO:0048521)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of behavior (GO:0048520)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
organic hydroxy compound biosynthetic process (GO:1901617)	99	1	1.93	-	.52	1.00E00	1.00E00
organic hydroxy compound catabolic process (GO:1901616)	29	0	.56	-	 < 0.01	1.00E00	1.00E00
protein linear polyubiquitination (GO:0097039)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
organic hydroxy compound metabolic process (GO:1901615)	188	1	3.66	-	.27	2.76E-01	1.00E00
heme export (GO:0097037)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of plasma membrane sterol distribution (GO:0097036)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of membrane lipid distribution (GO:0097035)	45	0	.88	-	 < 0.01	1.00E00	1.00E00
CDP-diacylglycerol metabolic process (GO:0046341)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
sensory perception of smell (GO:0007608)	115	0	2.24	-	 < 0.01	2.86E-01	1.00E00
diacylglycerol catabolic process (GO:0046340)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of vesicle transport along microtubule (GO:1901610)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
sensory perception of chemical stimulus (GO:0007606)	128	0	2.49	-	 < 0.01	1.83E-01	1.00E00
sensory perception of sound (GO:0007605)	42	1	.82	+	1.22	5.64E-01	1.00E00
phototransduction, visible light (GO:0007603)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
phototransduction (GO:0007602)	43	0	.84	-	 < 0.01	1.00E00	1.00E00
visual perception (GO:0007601)	150	2	2.92	-	.69	1.00E00	1.00E00
sensory perception (GO:0007600)	341	4	6.63	-	.60	4.25E-01	1.00E00
lipid droplet organization (GO:0034389)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of coagulation (GO:0050819)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of coagulation (GO:0050818)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
coagulation (GO:0050817)	54	0	1.05	-	 < 0.01	6.28E-01	1.00E00
chylomicron remnant clearance (GO:0034382)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cardiac muscle tissue growth involved in heart morphogenesis (GO:0003245)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
plasma lipoprotein particle clearance (GO:0034381)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
spermatid differentiation (GO:0048515)	13	0	.25	-	 < 0.01	1.00E00	1.00E00
high-density lipoprotein particle assembly (GO:0034380)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of steroid biosynthetic process (GO:0050810)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
blood vessel morphogenesis (GO:0048514)	273	6	5.31	+	1.13	6.60E-01	1.00E00
cardiac chamber ballooning (GO:0003242)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
growth involved in heart morphogenesis (GO:0003241)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
circadian behavior (GO:0048512)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
diacylglycerol metabolic process (GO:0046339)	12	0	.23	-	 < 0.01	1.00E00	1.00E00
rhythmic process (GO:0048511)	70	1	1.36	-	.73	1.00E00	1.00E00
phosphatidylethanolamine metabolic process (GO:0046337)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of vesicle transport along microtubule (GO:1901608)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
alpha-amino acid biosynthetic process (GO:1901607)	48	1	.93	+	1.07	6.11E-01	1.00E00
alpha-amino acid catabolic process (GO:1901606)	70	0	1.36	-	 < 0.01	6.46E-01	1.00E00
alpha-amino acid metabolic process (GO:1901605)	133	2	2.59	-	.77	1.00E00	1.00E00
dendritic cell differentiation (GO:0097028)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
octopamine metabolic process (GO:0046333)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of JNK cascade (GO:0046330)	29	0	.56	-	 < 0.01	1.00E00	1.00E00
histone H3-K14 acetylation (GO:0044154)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
synapse organization (GO:0050808)	100	1	1.95	-	.51	1.00E00	1.00E00
plasma lipoprotein particle assembly (GO:0034377)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of synapse organization (GO:0050807)	28	1	.54	+	1.84	4.28E-01	1.00E00
positive regulation of synaptic transmission (GO:0050806)	25	0	.49	-	 < 0.01	1.00E00	1.00E00
